threshold,precision,recall,f1_score
0.0,0.275,1.0,0.43137254901960786
0.01,0.43,0.9772727272727273,0.5972222222222222
0.02,0.44329896907216493,0.9772727272727273,0.6099290780141844
0.03,0.45652173913043476,0.9545454545454546,0.6176470588235294
0.04,0.4666666666666667,0.9545454545454546,0.6268656716417911
0.05,0.4827586206896552,0.9545454545454546,0.6412213740458015
0.06,0.4883720930232558,0.9545454545454546,0.6461538461538462
0.07,0.49411764705882355,0.9545454545454546,0.6511627906976745
0.08,0.5060240963855421,0.9545454545454546,0.6614173228346457
0.09,0.525,0.9545454545454546,0.6774193548387096
0.1,0.5316455696202531,0.9545454545454546,0.6829268292682927
0.11,0.5384615384615384,0.9545454545454546,0.6885245901639344
0.12,0.5384615384615384,0.9545454545454546,0.6885245901639344
0.13,0.5454545454545454,0.9545454545454546,0.6942148760330579
0.14,0.5526315789473685,0.9545454545454546,0.7
0.15,0.5753424657534246,0.9545454545454546,0.717948717948718
0.16,0.5915492957746479,0.9545454545454546,0.7304347826086957
0.17,0.5915492957746479,0.9545454545454546,0.7304347826086957
0.18,0.5915492957746479,0.9545454545454546,0.7304347826086957
0.19,0.5915492957746479,0.9545454545454546,0.7304347826086957
0.2,0.6,0.9545454545454546,0.7368421052631579
0.21,0.6086956521739131,0.9545454545454546,0.7433628318584071
0.22,0.6029411764705882,0.9318181818181818,0.7321428571428571
0.23,0.6212121212121212,0.9318181818181818,0.7454545454545455
0.24,0.6212121212121212,0.9318181818181818,0.7454545454545455
0.25,0.6212121212121212,0.9318181818181818,0.7454545454545455
0.26,0.6212121212121212,0.9318181818181818,0.7454545454545455
0.27,0.640625,0.9318181818181818,0.7592592592592593
0.28,0.6349206349206349,0.9090909090909091,0.7476635514018691
0.29,0.6349206349206349,0.9090909090909091,0.7476635514018691
0.3,0.6349206349206349,0.9090909090909091,0.7476635514018691
0.31,0.6290322580645161,0.8863636363636364,0.7358490566037735
0.32,0.639344262295082,0.8863636363636364,0.7428571428571429
0.33,0.639344262295082,0.8863636363636364,0.7428571428571429
0.34,0.639344262295082,0.8863636363636364,0.7428571428571429
0.35000000000000003,0.639344262295082,0.8863636363636364,0.7428571428571429
0.36,0.639344262295082,0.8863636363636364,0.7428571428571429
0.37,0.639344262295082,0.8863636363636364,0.7428571428571429
0.38,0.639344262295082,0.8863636363636364,0.7428571428571429
0.39,0.639344262295082,0.8863636363636364,0.7428571428571429
0.4,0.639344262295082,0.8863636363636364,0.7428571428571429
0.41000000000000003,0.6551724137931034,0.8636363636363636,0.7450980392156863
0.42,0.6785714285714286,0.8636363636363636,0.76
0.43,0.6785714285714286,0.8636363636363636,0.76
0.44,0.6785714285714286,0.8636363636363636,0.76
0.45,0.7037037037037037,0.8636363636363636,0.7755102040816326
0.46,0.7169811320754716,0.8636363636363636,0.7835051546391752
0.47000000000000003,0.7115384615384616,0.8409090909090909,0.7708333333333334
0.48,0.7254901960784313,0.8409090909090909,0.7789473684210526
0.49,0.7708333333333334,0.8409090909090909,0.8043478260869565
0.5,0.7708333333333334,0.8409090909090909,0.8043478260869565
0.51,0.7872340425531915,0.8409090909090909,0.8131868131868132
0.52,0.782608695652174,0.8181818181818182,0.8
0.53,0.782608695652174,0.8181818181818182,0.8
0.54,0.8,0.8181818181818182,0.8089887640449438
0.55,0.7954545454545454,0.7954545454545454,0.7954545454545454
0.56,0.7954545454545454,0.7954545454545454,0.7954545454545454
0.5700000000000001,0.7906976744186046,0.7727272727272727,0.7816091954022989
0.58,0.7906976744186046,0.7727272727272727,0.7816091954022989
0.59,0.7804878048780488,0.7272727272727273,0.7529411764705882
0.6,0.7804878048780488,0.7272727272727273,0.7529411764705882
0.61,0.8,0.7272727272727273,0.7619047619047619
0.62,0.7948717948717948,0.7045454545454546,0.7469879518072289
0.63,0.7948717948717948,0.7045454545454546,0.7469879518072289
0.64,0.7894736842105263,0.6818181818181818,0.7317073170731707
0.65,0.7894736842105263,0.6818181818181818,0.7317073170731707
0.66,0.7894736842105263,0.6818181818181818,0.7317073170731707
0.67,0.8333333333333334,0.6818181818181818,0.75
0.68,0.8181818181818182,0.6136363636363636,0.7012987012987013
0.6900000000000001,0.8181818181818182,0.6136363636363636,0.7012987012987013
0.7000000000000001,0.84375,0.6136363636363636,0.7105263157894737
0.71,0.8709677419354839,0.6136363636363636,0.72
0.72,0.8709677419354839,0.6136363636363636,0.72
0.73,0.8666666666666667,0.5909090909090909,0.7027027027027027
0.74,0.8888888888888888,0.5454545454545454,0.676056338028169
0.75,0.8888888888888888,0.5454545454545454,0.676056338028169
0.76,0.9130434782608695,0.4772727272727273,0.6268656716417911
0.77,0.95,0.4318181818181818,0.59375
0.78,0.9473684210526315,0.4090909090909091,0.5714285714285714
0.79,0.9411764705882353,0.36363636363636365,0.5245901639344263
0.8,0.9375,0.3409090909090909,0.5
0.81,0.9285714285714286,0.29545454545454547,0.4482758620689655
0.8200000000000001,0.9090909090909091,0.22727272727272727,0.36363636363636365
0.8300000000000001,0.9090909090909091,0.22727272727272727,0.36363636363636365
0.84,0.8888888888888888,0.18181818181818182,0.3018867924528302
0.85,0.875,0.1590909090909091,0.2692307692307692
0.86,0.8571428571428571,0.13636363636363635,0.23529411764705882
0.87,0.8333333333333334,0.11363636363636363,0.2
0.88,0.8,0.09090909090909091,0.16326530612244897
0.89,1.0,0.06818181818181818,0.1276595744680851
0.9,1.0,0.06818181818181818,0.1276595744680851
